play_id,game_id,timestamp,player_id,action_type,shot_type,distance_ft,is_made,quarter,time_remaining,_kafka_key,_kafka_partition,_kafka_offset
P0008,0042500317,2026-06-01T03:43:34Z,PL_1631096,Turnover,2PT,0.0,False,1,PT11M21.00S,P0008,0,2
P0010,0042500317,2026-06-01T03:43:44Z,PL_1629652,Foul,2PT,0.0,False,1,PT11M17.00S,P0010,0,4
P0022,0042500317,2026-06-01T03:44:19Z,PL_1641717,Rebound,2PT,0.0,False,1,PT09M36.00S,P0022,0,11
P0029,0042500317,2026-06-01T03:44:44Z,PL_1641705,Rebound,2PT,0.0,False,1,PT08M48.00S,P0029,0,16
P0032,0042500317,2026-06-01T03:44:54Z,PL_1628983,Rebound,2PT,0.0,False,1,PT08M38.00S,P0032,0,18
P0033,0042500317,2026-06-01T03:44:59Z,PL_1628392,Turnover,2PT,0.0,False,1,PT08M26.00S,P0033,0,19
P0035,0042500317,2026-06-01T03:45:09Z,PL_1641717,Foul,2PT,0.0,False,1,PT08M21.00S,P0035,0,21
P0040,0042500317,2026-06-01T03:45:24Z,PL_1628392,Rebound,2PT,0.0,False,1,PT08M10.00S,P0040,0,24
P0045,0042500317,2026-06-01T03:45:39Z,PL_1628983,Turnover,2PT,0.0,False,1,PT07M21.00S,P0045,0,27
P0048,0042500317,2026-06-01T03:45:54Z,PL_1628392,Rebound,2PT,0.0,False,1,PT07M09.00S,P0048,0,30
P0052,0042500317,2026-06-01T03:46:09Z,PL_1627936,Turnover,2PT,0.0,False,1,PT06M38.00S,P0052,0,33
P0055,0042500317,2026-06-01T03:46:24Z,PL_1642264,Rebound,2PT,0.0,False,1,PT06M33.00S,P0055,0,36
P0065,0042500317,2026-06-01T03:46:59Z,PL_1628392,Rebound,2PT,0.0,False,1,PT06M16.00S,P0065,0,43
P0067,0042500317,2026-06-01T03:47:09Z,PL_1641717,Rebound,2PT,0.0,False,1,PT06M14.00S,P0067,0,45
P0074,0042500317,2026-06-01T03:47:34Z,PL_1628983,Foul,2PT,0.0,False,1,PT05M30.00S,P0074,0,50
P0077,0042500317,2026-06-01T03:47:44Z,PL_1628392,Turnover,2PT,0.0,False,1,PT05M15.00S,P0077,0,52
P0083,0042500317,2026-06-01T03:48:09Z,PL_1627936,Rebound,2PT,0.0,False,1,PT04M30.00S,P0083,0,57
P0097,0042500317,2026-06-01T03:48:49Z,PL_1631119,Rebound,2PT,0.0,False,1,PT04M05.00S,P0097,0,65
P0098,0042500317,2026-06-01T03:48:54Z,PL_1631096,Turnover,2PT,0.0,False,1,PT04M00.00S,P0098,0,66
P0100,0042500317,2026-06-01T03:49:04Z,PL_1642264,Turnover,2PT,0.0,False,1,PT03M54.00S,P0100,0,68
P0102,0042500317,2026-06-01T03:49:14Z,PL_1642844,Foul,2PT,0.0,False,1,PT03M49.00S,P0102,0,70
P0109,0042500317,2026-06-01T03:49:39Z,PL_1628983,Rebound,2PT,0.0,False,1,PT03M23.00S,P0109,0,75
P0111,0042500317,2026-06-01T03:49:49Z,PL_1631119,Rebound,2PT,0.0,False,1,PT03M05.00S,P0111,0,77
P0113,0042500317,2026-06-01T03:49:59Z,PL_1630170,Rebound,2PT,0.0,False,1,PT02M53.00S,P0113,0,79
P0115,0042500317,2026-06-01T03:50:09Z,PL_1631119,Rebound,2PT,0.0,False,1,PT02M40.00S,P0115,0,81
P0117,0042500317,2026-06-01T03:50:19Z,PL_1631096,Rebound,2PT,0.0,False,1,PT02M32.00S,P0117,0,83
P0118,0042500317,2026-06-01T03:50:24Z,PL_1629640,Foul,2PT,0.0,False,1,PT02M32.00S,P0118,0,84
P0123,0042500317,2026-06-01T03:50:39Z,PL_1641705,Rebound,2PT,0.0,False,1,PT02M18.00S,P0123,0,87
P0126,0042500317,2026-06-01T03:50:54Z,PL_1630170,Rebound,2PT,0.0,False,1,PT01M51.00S,P0126,0,90
P0127,0042500317,2026-06-01T03:50:59Z,PL_1642272,Foul,2PT,0.0,False,1,PT01M49.00S,P0127,0,91
P0134,0042500317,2026-06-01T03:51:24Z,PL_1641705,Rebound,2PT,0.0,False,1,PT01M20.00S,P0134,0,96
P0135,0042500317,2026-06-01T03:51:29Z,PL_1630577,Turnover,2PT,0.0,False,1,PT01M12.00S,P0135,0,97
P0143,0042500317,2026-06-01T03:51:54Z,PL_1629026,Rebound,2PT,0.0,False,1,PT00M53.10S,P0143,0,102
